id,atom1,atom2,length_mm
835,33,125,0.18636399509762955
836,33,136,0.21484716158757192
837,33,137,0.21359331646079935
838,33,144,0.158040580833512
839,33,160,0.19902012583899645
840,33,161,0.10953143514846818
841,33,164,0.24460132598044376
842,33,180,0.16658530211814862
843,33,191,0.20431913397245172
844,33,197,0.24877502631654808
845,33,225,0.23859752496451686
846,33,234,0.16823397078997085
847,33,238,0.22286321958621627
848,33,245,0.13340153248655243
849,33,247,0.14703110169586978
850,34,44,0.22246045801720984
851,34,46,0.23553399229377006
852,34,55,0.18856100322674463
853,34,62,0.1862966733687442
854,34,77,0.12296661308300193
855,34,81,0.23288570194383154
856,34,82,0.13891455341514147
857,34,83,0.11407138587764949
858,34,87,0.20908386214827315
859,34,90,0.20889888528633518
860,34,102,0.15459842078520217
861,34,132,0.20050255227403355
862,34,133,0.22558690053168626
863,34,164,0.17008785806280494
864,34,180,0.141841298222102
865,34,189,0.17531688746457783
866,34,222,0.11856670639238281
867,34,238,0.20594304238211078
868,34,239,0.11475921495013698
869,34,245,0.18833826714085228
870,34,246,0.16643190563620666
871,34,247,0.23459405774081094
872,35,64,0.21471492716824153
873,35,65,0.24299745576139314
874,35,80,0.21688263189075402
875,35,87,0.22207755411174243
876,35,88,0.19273529847328327
877,35,94,0.22610017895640871
878,35,104,0.12622818347405307
879,35,107,0.16659622241971547
880,35,114,0.21402396638268864
881,35,117,0.20495509947463897
882,35,123,0.14251146787376906
883,35,127,0.1450308800489509
884,35,144,0.22050381200306568
885,35,145,0.11653037081974077
886,35,158,0.2464013823582367
887,35,166,0.11136850295054963
888,35,182,0.11006097944281439
889,35,197,0.19998492294368048
890,35,204,0.14245217666271656
891,35,238,0.24673967947766712
892,35,247,0.20409004458090002
893,36,52,0.2300149141315508
894,36,54,0.24838492389405734
895,36,85,0.19517997886214267
896,36,91,0.2080547175630401
897,36,95,0.11054355300213911
898,36,113,0.19941610501826407
899,36,116,0.13449136611947932
900,36,131,0.16039266335139604
901,36,173,0.20661871818351316
902,36,178,0.19647520057383244
903,36,193,0.15424712391940473
904,36,202,0.2099582970646158
905,36,205,0.21298582813164435
906,36,213,0.21338041927437662
907,36,220,0.2444891079444779
908,36,225,0.21222444350456768
909,36,229,0.10910919535528313
910,37,47,0.2294802654177044
911,37,53,0.24354500378307123
912,37,67,0.16376222226554368
913,37,73,0.18812593478851694
914,37,74,0.24582524301837852
915,37,115,0.22874681878676378
916,37,118,0.14306525033068768
